Podcast Episode #,Type,Podcast Title,Guest(s),Date of Podcast,Date of Podcast,File Type,File Name,Drive Link,Completion,Issues,OPS Feedback,Transcription,,Podcast Info:  https://docs.google.com/spreadsheets/d/1adks5SRjZncKi1wEZ7lLQu6-bbx_7UbV/edit?gid=2111867383#gid=2111867383
130,The Blueprint Podcast,Rosanne Meyer - Property Entrepreneur of the Year 2022,Adam Goff and Rosanna Meyer,15-Feb-2023,Wednesday 15th February,Audio,POD 2023 - Episode 130 - Audio,PEP_130_Edited.mp3,Done-A,,,,,
131,The Blueprint Podcast,Winter Hit List Blueprint,Daniel Hill ,21-Feb-2023,Tuesday 21st February,Audio,POD 2023 - Episode 131 - Audio,PEP_131_Edited.mp3,Done-A,,,,,
132,The Blueprint Podcast,The Bat Phone Blueprint,Daniel Hill ,28-Feb-2023,Tuesday 28th February,Audio,POD 2023 - Episode 132 - Audio,PEP_132_Edited.mp3,Done-A,,,,,
133,Deals Deals Deal,How to Earn £100k + Profit On One Leased Property,Mark Barrett and Jay Chauhan,1-Mar-2023,Wednesday 1st March,Audio,POD 2023 - Episode 133 - Audio,PEP_133_Edited.mp3,Done-A,,,,,
134,The Blueprint Podcast,The Bank Balance Blueprint,Daniel Hill ,7-Mar-2023,Tuesday 7th March,Audio,POD 2023 - Episode 134 - Audio,PEP_134_Edited.mp3,Done-A,,,,,
135,The Blueprint Podcast,Be Your Own Bank,Daniel Hill ,14-Mar-2023,Tuesday 14th March,Audio,POD 2023 - Episode 135 - Audio,PEP_135_Edited.mp3,Done-A,,,,,
136,The Blueprint Podcast,Financial Fortress In One Deal,Adam Goff and Roberto Scandian & Rohit Santa,15-Mar-2023,Wednesday 15th March,Audio,POD 2023 - Episode 136 - Audio,PEP_136_Edited.mp3,Done-A,,,,,
137,The Blueprint Podcast,£1 Million Business For £1,Daniel Hill ,21-Mar-2023,Tuesday 21st March,Audio,POD 2023 - Episode 137 - Audio,PEP_137_Edited.mp3,Done-A,,,,,
138,The Blueprint Podcast,The New Age Property Entrepreneur,Daniel Hill ,28-Mar-2023,Tuesday 28th March,Audio,POD 2023 - Episode 138 - Audio,PEP_138_Edited.mp3,Done-A,,,,,
139,The Blueprint Podcast,90 Mins A Week + 18 Months = £1m Portfolio,Chris Moss,1-Apr-2023,Saturday 1st April,Audio,POD 2023 - Episode 139 - Audio,PEP_139_Edited.mp3,Done-A,,,,,
140,The Blueprint Podcast,Rolls Royce For Free,Daniel Hill ,4-Apr-2023,Tuesday 4th April,Audio,POD 2023 - Episode 140 - Audio,PEP_140_Edited.mp3,Done-A,,,,,
141,The Blueprint Podcast,Do's And Don'ts For Dealmakers,Daniel Hill ,11-Apr-2023,Tuesday 11th April,Audio,POD 2023 - Episode 141 - Audio,PEP_141_Edited_v2.mp3,Done-A,,,,,
142,The Blueprint Podcast,Tony Rigby - Award Winner 2022,Adam Goff and Tony Rigby,15-Apr-2023,Saturday 15th April,Audio,POD 2023 - Episode 142 - Audio,TBP_142_Edited.mp3,Done-A,,,,,
143,The Blueprint Podcast,Rewire Your Brain,Daniel Hill ,18-Apr-2023,Tuesday 18th April,Audio,POD 2023 - Episode 143 - Audio,TBP_143_Edited.mp3,Done-A,,,,,
144,The Blueprint Podcast,Secret Property Deals,Daniel Hill ,25-Apr-2023,Tuesday 25th April,Audio,POD 2023 - Episode 144 - Audio,TBP_144_Edited_v2.mp3,Done-A,,,,,
145,The Blueprint Podcast,Property For Nothing And The Land For Free,Mark Barrett and Umesh Kalra,1-May-2023,Monday 1st May,Audio,POD 2023 - Episode 145 - Audio,TBP_145_Edited.mp3,Done-A,,,,,
146,The Blueprint Podcast,The Margins You're Missing,Daniel Hill ,2-May-2023,Tuesday 2nd May,Audio,POD 2023 - Episode 146 - Audio,TBP_146_Edited.mp3,Done-A,,,,,
147,The Blueprint Podcast,Deadlines Get Things Done Blueprint,Daniel Hill ,9-May-2023,Tuesday 9th May,Audio,POD 2023 - Episode 147 - Audio,TBP_147_Edited_v2.mp3,Done-A,,,,,
148,The Blueprint Podcast,"The Sky Is Not The Limit

",Josh Keegan and Mo Haykir,15-May-2023,Monday 15th May,Audio,POD 2023 - Episode 148 - Audio,TBP_148_Edited_v2.mp3,Done-A,,,,,
149,The Blueprint Podcast,The NPS Blueprint,Daniel Hill ,16-May-2023,Tuesday 16th May,Audio,POD 2023 - Episode 149 - Audio,TBP_149_Edited_v2.mp3,Done-A,,,,,
150,The Blueprint Podcast,Six Figure Step Up,"Daniel Hill, Ian Bower, Rohit Santa, Jay Chauhan",23-May-2023,Tuesday 23rd May,Audio,POD 2023 - Episode 150 - Audio,TBP_150_Edited_v4.mp3,Done-M,,,,,
151,The Blueprint Podcast,Success Is Easy,Daniel Hill ,30-May-2023,Tuesday 30th May,Audio,POD 2023 - Episode 151 - Audio,TBP_151_Edited.mp3,Done-M,,,,,
152,Deals Deals Deal,"Textbook Cashflow Business For 6 Figure Profits
",Mark Barrett and Tsen Wharton,1-Jun-2023,Thursday 1st June,Audio,POD 2023 - Episode 152 - Audio,TBP_152_Edited.mp3,Done-M,,,,,
153,The Blueprint Podcast,The Refurb That Made Me Half a Million,Daniel Hill ,6-Jun-2023,Tuesday 6th June,Audio,POD 2023 - Episode 153 - Audio,TBP_153_Edited.mp3,Done-M,,,,,
154,6 Rounds,"AI, Psychedelics & How Money Got Me Laid
",Daniel Hill & Akash Vaghela,13-Jun-2023,Tuesday 13th June,Audio,POD 2023 - Episode 154 - Audio,TBP_154_Edited_v2.mp3,Done-M,,,,,
155,The Blueprint Podcast,Dan Norman - Award Winner 2022,Dan Norman,15-Jun-2023,Thursday 15th June ,Audio,POD 2023 - Episode 155 - Audio,TBP_155_Edited_v2.mp3,Done-M,,,,,
156,The Blueprint Podcast,I Hate HMOs,Daniel Hill ,20-Jun-2023,Tuesday 20th June,Audio,POD 2023 - Episode 156 - Audio,TBP_156_Edited.mp3,Done-M,,,,,
157,The Blueprint Podcast,How To Make 40% Profit,Daniel Hill ,27-Jun-2023,Tuesday 27th June,Audio,POD 2023 - Episode 157 - Audio,TBP_157_Edited.mp3,Done-M,,,,,
158,Deals Deals Deal,"€280,000 Profit Using Other People’s Money",Mark Barrett and Aaron O'Flaherty,1-Jul-2023,Saturday 1st July,Audio,POD 2023 - Episode 158 - Audio,TBP_158_Edited_v3.mp3,Done-M,,,,,
159,The Blueprint Podcast,Leave Me Alone,Daniel Hill ,4-Jul-2023,Tuesday 4th July,Audio,POD 2023 - Episode 159 - Audio,TBP_159_Edited_v2.mp3,Done-M,,,,,
160,The Blueprint Podcast,The UK Economy Is Done,Daniel Hill ,11-Jul-2023,Tuesday 11th July,Audio,POD 2023 - Episode 160 - Audio,TBP_160_Edited.mp3,Done-M,,,,,
161,Hall of Fame,"Garrett Peers - Hall of Fame
",Josh Keegan and Garrett Peers,15-Jul-2023,Saturday 15th July,Audio,POD 2023 - Episode 161 - Audio,TBP_161_Edited.mp3,Done-M,,,,,
162,6 Rounds,6 Rounds with Josh Keegan,Daniel Hill & Josh Keegan,18-Jul-2023,Tuesday 18th July,Audio,POD 2023 - Episode 162 - Audio,UFD_162_Edited.mp3,Done-M,,,,,
163,The Blueprint Podcast,What Are You Hiding,Daniel Hill ,25-Jul-2023,Tuesday 25th July,Audio,POD 2023 - Episode 163 - Audio,TBP_163_Edited.mp3,Done-M,,,,,
164,Deals Deals Deal,"Commercial Conversion with over £500k Profit
",Mark Barrett and Tej Gill,1-Aug-2023,Tuesday 1st August,Audio,POD 2023 - Episode 164 - Audio,TBP_164_Edited.mp3,Done-M,,,,,
165,The Blueprint Podcast,"The Perfect Profile - Who, What & Where",Daniel Hill ,8-Aug-2023,Tuesday 8th August,Audio,POD 2023 - Episode 165 - Audio,TBP_165_Edited.mp3,Done-M,,,,,
166,Hall of Fame,"Chris Chadwick - Hall of Fame
",Josh Keegan and Chris Chadwick,15-Aug-2023,Tuesday 15th August,Audio,POD 2023 - Episode 166 - Audio,TBP_166_Edited.mp3,Done-M,,,,,
167,The Blueprint Podcast,Pull the Cord,Daniel Hill ,22-Aug-2023,Tuesday 22nd August,Audio,POD 2023 - Episode 167 - Audio,TBP_167_Edited.mp3,Done-M,,,,,
168,The Blueprint Podcast,6 Rounds with Terry Blackburn,Daniel Hill & Terry Blackburn,29-Aug-2023,Tuesday 29th August,Audio,POD 2023 - Episode 168 - Audio,No Episode found,,,,,,
169,Deals Deals Deal,"£3,000pm Profit From Commercial Conversion
",Mark Barrett and Tim Witt and Guillaume Black,1-Sep-2023,Friday 1st September,Audio,POD 2023 - Episode 169 - Audio,TBP_169_Edited.mp3,Done-M,,,,,
170,The Blueprint Podcast,7 Figure Sales Blueprint,Daniel Hill ,5-Sep-2023,Tuesday 5th September,Audio,POD 2023 - Episode 170 - Audio,TBP_170_Edited_v2.mp3,Done-M,,,,,
171,The Blueprint Podcast,New PD Rights Announced!,Daniel Hill ,12-Sep-2023,Tuesday 12th September,Audio,POD 2023 - Episode 171 - Audio,TBP_171_Edited.mp3,Done-M,,,,,
172,Hall of Fame,Suzi Carter - Hall of Fame,Josh Keegan and Suzi Carter,15-Sep-2023,Friday 15th September,Audio,POD 2023 - Episode 172 - Audio,TBP_172_Edited.mp3,Done-M,,,,,
173,The Blueprint Podcast,"How To Make £2,000,000 Profit A Year With Only 4 Employees",Daniel Hill ,19-Sep-2023,Tuesday 19th September,Audio,POD 2023 - Episode 173 - Audio,TBP_173_Edited.mp3,Done-M,,,,,
174,The Blueprint Podcast,The Secret To Growing Broke,Daniel Hill ,26-Sep-2023,Tuesday 26th September,Audio,POD 2023 - Episode 174 - Audio,TBP_174_Edited.mp3,Done-M,,,,,
175,Deals Deals Deal,Property Trading: £100K Profit From 3 Deals,Mark Barrett and David France,1-Oct-2023,Sunday 1st October,Audio,POD 2023 - Episode 175 - Audio,TBP_175_Edited.mp3,Done-M,,,,,
176,The Blueprint Podcast,Panic Attack : Stressed Out,Daniel Hill ,3-Oct-2023,Tuesday 3rd October,Audio,POD 2023 - Episode 176 - Audio,TBP_176_Studio_Edit.mp3,Done-M,,,,,
177,The Blueprint Podcast,The Property Development Business Blueprint,Daniel Hill ,10-Oct-2023,Tuesday 10th October,Audio,POD 2023 - Episode 177 - Audio,TBP_177_Edited.mp3,Done-M,,,,,
178,The Blueprint Podcast,,,15-Oct-2023,Sunday 15th October,Audio,POD 2023 - Episode 178 - Audio,No Episode found,,,,,,
179,The Blueprint Podcast,My Million Pound Mistake,Daniel Hill ,17-Oct-2023,Tuesday 17th October,Audio,POD 2023 - Episode 179 - Audio,TBP_179_Edited_v2.mp3,Done-M,,,,,
180,The Blueprint Podcast,Money For Nothing - Free Money For All!!,Daniel Hill ,24-Oct-2023,Tuesday 24th October,Audio,POD 2023 - Episode 180 - Audio,TBP_180_Edited_v2.mp3,Done-M,,,,,
181,The Blueprint Podcast,The Non Exec Director - High Value Low Volume,Daniel Hill ,31-Oct-2023,Tuesday 31st October,Audio,POD 2023 - Episode 181 - Audio,TBP_181_Edited_v2.mp3,Done-M,,,,,
182,Deals Deals Deal,Monopoly Play Using Delayed Completions,Mark Barrett and Dan Norman,1-Nov-2023,Wednesday 1st November,Audio,POD 2023 - Episode 182 - Audio,TBP_182_Edited.mp3,Done-M,,,,,
183,The Blueprint Podcast,"The Three Types of Team - Start, Scale and Sweet Spot",Daniel Hill ,7-Nov-2023,Tuesday 7th November,Audio,POD 2023 - Episode 183 - Audio,TBP_183_Edited_v2.mp3,Done-M,,,,,
184,6 Rounds,6 Rounds with Adam Lawrence,Daniel Hill & Adam Lawrence,14-Nov-2023,Tuesday 14th November,Audio,POD 2023 - Episode 184 - Audio,TBP_184_New_6R_Edited.mp3,Done-M,,,,,
185,The Blueprint Podcast,"Michael Taylor - Award Winner 2023
From Public Sector to Property Investor",Michael Taylor,15-Nov-2023,Wednesday 15th November,Audio,POD 2023 - Episode 185 - Audio,TBP_185_Edited.mp3,Done-M,,,,,
186,The Blueprint Podcast,Life By Design ,Daniel Hill ,21-Nov-2023,Tuesday 21st November,Audio,POD 2023 - Episode 186 - Audio,TBP_186_Edited.mp3,Done-M,,,,,
187,The Blueprint Podcast,Zombie Nation,Daniel Hill ,28-Nov-2023,Tuesday 28th November,Audio,POD 2023 - Episode 187 - Audio,TBP_187_Edited.mp3,Done-M,,,,,
188,Deals Deals Deal,"£100k PA Cashflow From One Deal
",Mark Barrett and Tom Appleton,1-Dec-2023,Friday 1st December,Audio,POD 2023 - Episode 188 - Audio,TBP_188_Edited.mp3,Done-M,,,,,
189,The Blueprint Podcast,Personal Cashflow Management (PCM),Daniel Hill ,5-Dec-2023,Tuesday 5th December,Audio,POD 2023 - Episode 189 - Audio,TBP_189_Edited.mp3,Done-M,,,,,
190,6 Rounds,6 Rounds with Sarah Lloyd,Daniel Hill & Sarah Lloyd,12-Dec-2023,Tuesday 12th December,Audio,POD 2023 - Episode 190 - Audio,TBP_190_Edited.mp3,Done-M,,,,,
191,The Blueprint Podcast,High Performance Entrepreneurship with Kids,Josh Keegan & Claire Reid,15-Dec-2023,Friday 15th December,Audio,POD 2023 - Episode 191 - Audio,TBP_191_Edited.mp3,Done-M,,,,,
192,Deals Deals Deal,DEALS DEALS DEALS - 5 Deals you can do in a downward market (Was 184),Daniel Hill ,19-Dec-2023,Tuesday 19th December,Audio,POD 2023 - Episode 192 - Audio,TBP_192_Edited.mp3,Done-M,,,,,
193,The Blueprint Podcast,One Word: My Gift To You,Daniel Hill & Guillaume Black,26-Dec-2023,Tuesday 26th December,Audio,POD 2023 - Episode 193 - Audio,TBP_193_Edited.mp3,Done-M,,,,,
194,Deals Deals Deal,Turning £1m Mistake into £500k Profit!,Daniel Hill  & Mark Barrett,1-Jan-2024,Monday 1st January 2024,Audio,POD 2024 - Episode 194 - Audio,TBP_194_Edited.mp3,Done-M,,,,,
195,The Blueprint Podcast,Cave Time,Daniel Hill ,2-Jan-2024,Tuesday 2nd January,Audio,POD 2024 - Episode 195 - Audio,TBP_195_Edited.mp3,Done-M,,,,,
196,The Blueprint Podcast,"Me, The Monk and Magic Mushrooms - DO NOT RESCHEDULE THIS EPISODE LINKED WITH RAV'S RELEASE TOO
REQUEST RAV TO BE A COLLABORATOR ON SOCIAL POSTS",Daniel Hill & Ravinol Chambers,9-Jan-2024,Tuesday 9th January,Audio,POD 2024 - Episode 196 - Audio,TBP_196_Edited.mp3,Done-M,,,,,
197,The Blueprint Podcast,"Hugh Mowat - Strategy Day Award Winner 2023
",Hugh Mowat,15-Jan-2024,Monday 15th January,Audio,POD 2024 - Episode 197 - Audio,TBP_197_Edited.mp3,Done-M,,,,,
198,The Blueprint Podcast,How To Get Into The Top 1%,Daniel Hill ,16-Jan-2024,Tuesday 16th January,Audio,POD 2024 - Episode 198 - Audio,TBP_198_Edited.mp3,Done-M,,,,,
199,6 Rounds,"Daniel Hill and Simon Zutshi go Six Rounds!
",Daniel Hill & Simon Zutshi,23-Jan-2024,Tuesday 23rd January,Audio,POD 2024 - Episode 199 - Audio,TBP_199_Edited.mp3,Done-M,,,,,
200,The Blueprint Podcast,200th Episode: 10 Lessons Learned in 2023,Daniel Hill ,30-Jan-2024,Tuesday 30th January ,Audio,POD 2024 - Episode 200 - Audio,TBP_200_Edited_v2.mp3,Done-M,,,,,
201,Deals Deals Deal,"10 Purchase Option Deals with £1.6m Equity and £20k pm Cashflow!!!!
",Mark Barrett and Ashley Lindsay,1-Feb-2024,Thursday 1st February,Audio,POD 2024 - Episode 201 - Audio,TBP_201_Edited.mp3,Done-M,,,,,
202,The Blueprint Podcast,The Fast Lane Fallacy,Daniel Hill ,6-Feb-2024,Tuesday 6th February,Audio,POD 2024 - Episode 202 - Audio,TBP_202_Edited_v2.mp3,Done-M,,,,,
203,6 Rounds,"Daniel Hill and Susannah Cole go Six Rounds!
",Daniel Hill & Susannah Cole,13-Feb-2024,Tuesday 13th February,Audio,POD 2024 - Episode 203 - Audio,TBP_203_Edited.mp3,Done-M,,,,,
204,The Blueprint Podcast,Natalie Carter - Strategy Day Award Winner 2024,Natalie Carter ,15-Feb-2024,Thursday 15th February,Audio,POD 2024 - Episode 204 - Audio,TBP_204_Edited.mp3,Done-M,,,,,
205,The Blueprint Podcast,The Blueprint Blueprint,Daniel Hill ,20-Feb-2024,Tuesday 20th February,Audio,POD 2024 - Episode 205 - Audio,TBP_205_Edited.mp3,Done-M,,,,,
206,The Blueprint Podcast,The Breakthrough Blueprint,Daniel Hill ,27-Feb-2024,Tuesday 27th February,Audio,POD 2024 - Episode 206 - Audio,TBP_206_Edited.mp3,Done-M,,,,,
207,Deals Deals Deal,"€1m Profit Incl. €78k pa Cashflow With No Funds Left In
",Mark Barrett and Ian Bower,1-Mar-2024,Friday 1st March,Audio,POD 2024 - Episode 207 - Audio,TBP_207_Edited.mp3,Done-M,,,,,
208,The Blueprint Podcast,Financial Fortress,Daniel Hill ,5-Mar-2024,Tuesday 5th March,Audio,POD 2024 - Episode 208 - Audio,TBP_208_Edited.mp3,Done-M,,,,,
209,The Blueprint Podcast,3 Card Hack Trick,Daniel Hill ,12-Mar-2024,Tuesday 12th March,Audio,POD 2024 - Episode 209 - Audio,TBP_209_Edited.mp3,Done-M,,,,,
210,The Blueprint Podcast,Retired at 33 - Financial Fortress Complete,Adam Goff and Josh Keegan,15-Mar-2024,Friday 15th March,Audio,POD 2024 - Episode 210 - Audio,TBP_210_Edited.mp3,Done-M,,,,,
211,The Blueprint Podcast,Make or Break,Daniel Hill ,19-Mar-2024,Tuesday 19th March,Audio,POD 2024 - Episode 211 - Audio,TBP_211_Edited.mp3,Done-M,,,,,
212,The Blueprint Podcast,The Warren Buffet Way,Daniel Hill ,26-Mar-2024,Tuesday 26th March,Audio,POD 2024 - Episode 212 - Audio,TBP_212_Edited.mp3,Done-M,,,,,
213,Deals Deals Deal,"Mega 48 bed HMO, £750k equity, no money left and Financial Fortress",Mark Barrett & Richie Miller,1-Apr-2024,Monday 1st April,Audio,POD 2024 - Episode 213 - Audio,TBP_213_Edited.mp3,Done-M,,,,,
214,6 Rounds,Daniel Hill & Ian Bower go 6 rounds! (podcast recording 20/03/2024),Daniel Hill & Ian Bower,2-Apr-2024,Tuesday 2nd April,Audio,POD 2024 - Episode 214 - Audio,TBP_214_Edited.mp3,Done-M,,,,,
215,The Blueprint Podcast,The Email Inbox Blueprint,Daniel Hill ,9-Apr-2024,Tuesday 9th April,Audio,POD 2024 - Episode 215 - Audio,TBP_215_Edited.mp3,Done-M,,,,,
216,Hall of Fame,Chris Moss: Retired at 31 - Financial Fortress Complete,Josh Keegan and Chris Moss,15-Apr-2024,Monday 15th April,Audio,POD 2024 - Episode 216 - Audio,TBP_216_Edited.mp3,Done-M,,,,,
217,The Blueprint Podcast,The Chairman : 15 Lessons Learned in first 6 months,Daniel Hill ,16-Apr-2024,Tuesday 16th April,Audio,POD 2024 - Episode 217 - Audio,TBP_217_Edited.mp3,Done-M,,,,,
218,The Blueprint Podcast,Hub and Spoke to Silo Blueprint,Daniel Hill ,23-Apr-2024,Tuesday 23rd April,Audio,POD 2024 - Episode 218 - Audio,TBP_218_Edited.mp3,Done-M,,,,,
219,The Blueprint Podcast,The PDP Blueprint,Daniel Hill ,30-Apr-2024,Tuesday 30th April,Audio,POD 2024 - Episode 219 - Audio,TBP_219_Edited.mp3,Done-M,,,,,
220,Deals Deals Deal,Financial Fortress Completed In 2 Deals: £1.25m equity + £100k pa,Mark Barrett & Craig Shields,1-May-2024,Wednesday 1st May,Audio,POD 2024 - Episode 220 - Audio,TBP_220_Edited.mp3,Done-M,,,,,
221,6 Rounds,Daniel Hill and Sir Marco Robinson go 6 rounds! (podcast recording 3rd April),Daniel Hill & Sir Marco Robinson,7-May-2024,Tuesday 7th May,Audio,POD 2024 - Episode 221 - Audio,TBP_221_Edited.mp3,Done-M,,,,,
222,The Blueprint Podcast,3 Day Blueprint Event - What is it?,Daniel Hill ,14-May-2024,Tuesday 14th May,Audio,POD 2024 - Episode 222 - Audio,TBP_222_Edited.mp3,Done-M,,,,,
223,Hall of Fame,Rosanna Meyer: Hall of Fame: From Employee to Entrepreneur ,Rachel Davis and Rosanna Meyer ,15-May-2024,Wednesday 15th May,Audio,POD 2024 - Episode 223 - Audio,TBP_223_Edited.mp3,Done-M,,,,,
224,The Blueprint Podcast,Behind The Scenes - Strategy Day Presentations,Daniel Hill ,21-May-2024,Tuesday 21st May,Audio,POD 2024 - Episode 224 - Audio,TBP_224_Edited_v2.mp3,Done-M,,,,,
225,The Blueprint Podcast,What Is My Company Worth?!,Daniel Hill ,28-May-2024,Tuesday 28th May,Audio,POD 2024 - Episode 225 - Audio,TBP_225_Edited_v2.mp3,Done-M,,,,,
226,Deals Deals Deal,Highs and Lows of Property Development,Mark Barrett & Steve Hammond,1-Jun-2024,Saturday 1st June,Audio,POD 2024 - Episode 226 - Audio,TBP_226_Edited.mp3,Done-M,,,,,
227,6 Rounds,DH & Daniel Priestley go 6 rounds! (podcast recording 25/04/2024),Daniel Hill & Daniel Priestley,4-Jun-2024,Tuesday 4th June,Audio,POD 2024 - Episode 227 - Audio,TBP_227_Daniel_P_Edited_v2.mp3,Done-M,,,,,
228,The Blueprint Podcast,A Day in the Life of...,Daniel Hill ,11-Jun-2024,Tuesday 11th June,Audio,POD 2024 - Episode 228 - Audio,TBP_228_Edited.mp3,Done-M,,,,,
229,Hall of Fame,Richie Miller: Hall of Fame: From Army Officer to Lifestyle Entreprenuer,Josh Keegan and Richie Miller,15-Jun-2024,Saturday 15th June,Audio,POD 2024 - Episode 229 - Audio,TBP_229_Edited.mp3,Done-M,,,,,
230,The Blueprint Podcast,Fail Fast - 21 of My Biggest Failures,Daniel Hill ,18-Jun-2024,Tuesday 18th June,Audio,POD 2024 - Episode 230 - Audio,TBP_230_21_Failures_Edited.mp3,Done-M,,,,,
231,The Blueprint Podcast,The Bullet Proof Blueprint,Daniel Hill ,25-Jun-2024,Tuesday 25th June,Audio,POD 2024 - Episode 231 - Audio,TBP_231_Bullet_Proof_Edited.mp3,Done-M,,,,,
232,Deals Deals Deal,Cashflow Strategy With 6 Figure Profits,Mark Barrett & Jon Woodman,1-Jul-2024,Monday 1st July,Audio,POD 2024 - Episode 232 - Audio,TBP_232_Edited.mp3,Done-M,,,,,
233,6 Rounds,DH & Ravinol Chamber go 6 rounds! (podcast recording 26/04/2024),Daniel Hill & Ravinol Chambers,2-Jul-2024,Tuesday 2nd July,Audio,POD 2024 - Episode 233 - Audio,TBP_233_6R_Ravi_Edited.mp3,Done-M,,,,,
234,The Blueprint Podcast,Buy Back Your Time,Daniel Hill ,9-Jul-2024,Tuesday 9th July,Audio,POD 2024 - Episode 234 - Audio,TBP_234_Buy_Back_Your_Time_Edited.mp3,Done-M,,,,,
235,Hall of Fame,Award Winners: Huw Davies - Financially Free at 34,Rachel Davis and Huw Davies,15-Jul-2024,Monday 15th July,Audio,POD 2024 - Episode 235 - Audio,TBP_235_Huw_Davies_Edited.mp3,Done-M,,,,,
236,The Blueprint Podcast,Grace of Gratitude,Daniel Hill ,16-Jul-2024,Tuesday 16th July,Audio,POD 2024 - Episode 236 - Audio,TBP_236_Grace_of_Gratitude_Edited.mp3,Done-M,,,,,
237,The Blueprint Podcast,Box with a Bow,Daniel Hill ,23-Jul-2024,Tuesday 23rd July,Audio,POD 2024 - Episode 237 - Audio,TBP_237_Box_With_a_Bow_Edited.mp3,Done-M,,,,,
238,The Blueprint Podcast,10 Reasons Why Most Entrepreneurs Do Not Make Money,Daniel Hill ,30-Jul-2024,Tuesday 30th July,Audio,POD 2024 - Episode 238 - Audio,TBP_238_Edited.mp3,Done-M,,,,,
239,Deals Deals Deal,"Developers Margin as Cashflow: £0.3m-£0.4m per project
",Mark Barrett & Kevin Edge,1-Aug-2024,Thursday 1st August,Audio,POD 2024 - Episode 239 - Audio,TBP_239_Edited.mp3,Done-M,,,,,
240,The Blueprint Podcast,15 Top Places To Find Deals,Daniel Hill ,6-Aug-2024,Tuesday 6th August,Audio,POD 2024 - Episode 240 - Audio,TBP_240_Edited.mp3,Done-M,,,,,
241,The Blueprint Podcast,Culture Club,Daniel Hill ,13-Aug-2024,Tuesday 13th August,Audio,POD 2024 - Episode 241 - Audio,TBP_241_Edited.mp3,Done-M,,,,,
242,The Blueprint Podcast,Afam Sadiku: Strategy Day Finalist,Afam Sadiku,15-Aug-2024,Thursday 15th August,Audio,POD 2024 - Episode 242 - Audio,TBP_242_Edited.mp3,Done-M,,,,,
243,The Blueprint Podcast,"The UK Economy
",Daniel Hill ,20-Aug-2024,Tuesday 20th August,Audio,POD 2024 - Episode 243 - Audio,TBP_243_UK_Economy_Edited.mp3,Done-M,,,,,
244,The Blueprint Podcast,Challenging Conversations,Daniel Hill ,27-Aug-2024,Tuesday 27th August,Audio,POD 2024 - Episode 244 - Audio,TBP_244_Challenging_Conversations_Edited.mp3,Done-M,,,,,
245,Deals Deals Deal,"Financial Fortress Deal, £23k PA Profit, No Money Left In
",Mark Barrett & Chris McDermott,1-Sep-2024,Sunday 1st September,Audio,POD 2024 - Episode 245 - Audio,TBP_245_Edited.mp3,Done-M,,,,,
246,The Blueprint Podcast,Dopamine Detox,Daniel Hill ,3-Sep-2024,Tuesday 3rd September,Audio,POD 2024 - Episode 246 - Audio,TBP_246_Dopamine_Detox_Edited.mp3,Done-M,,,,,
247,The Blueprint Podcast,Life By Design Scorecard,Daniel Hill ,10-Sep-2024,Tuesday 10th September,Audio,POD 2024 - Episode 247 - Audio,TBP_247_Edited.mp3,Done-M,,,,,
248,The Blueprint Podcast,From Madness to Meticulousness,Kay Hutchby ,15-Sep-2024,Sunday 15th September,Audio,POD 2024 - Episode 248 - Audio,TBP_248_Edited.mp3,Done-M,,,,,
249,The Blueprint Podcast,My Best Year On Record,Daniel Hill & Adam Goff,17-Sep-2024,Tuesday 17th September,Audio,POD 2024 - Episode 249 - Audio,TBP_249_Edited.mp3,Done-M,,,,,
250,The Blueprint Podcast,The Swoop and Poop Blueprint,Daniel Hill ,24-Sep-2024,Tuesday 24th September,Audio,POD 2024 - Episode 250 - Audio,TBP_250_Edited.mp3,Done-M,,,,,
251,Deals Deals Deal,"Deal Of The Year - £0.75m Equity, None Of Your Own Money & No Money Left In",Mark Barrett & Chris Chadwick & Richie Miller,1-Oct-2024,Tuesday 1st October,Audio,POD 2024 - Episode 251 - Audio,TBP_251_Edited.mp3,Done-M,,,,,
252,The Blueprint Podcast,Don't Work December Blueprint,Daniel Hill ,8-Oct-2024,Tuesday 8th October,Audio,POD 2024 - Episode 252 - Audio,TBP_252_Edited.mp3,Done-M,,,,,
253,The Blueprint Podcast,From Financial Fog to Financial Freedom ,Dan Norman,15-Oct-2024,Tuesday 15th October,Audio,POD 2024 - Episode 253 - Audio,TBP_253_Edited.mp3,Done-M,,,,,
254,The Blueprint Podcast,Directors Dashboard Blueprint,Daniel Hill ,22-Oct-2024,Tuesday 22nd October,Audio,POD 2024 - Episode 254 - Audio,TBP_254_Edited.mp3,Done-M,,,,,
255,The Blueprint Podcast,Back to Back Leasing,Daniel Hill ,29-Oct-2024,Tuesday 29th October,Audio,POD 2024 - Episode 255 - Audio,TBP_255_Edited.mp3,Done-M,,,,,
256,Deals Deals Deal,"The Ultimate Purchase Lease Option
",Mark Barrett & Jon Woodman,1-Nov-2024,Friday 1st November,Audio,POD 2024 - Episode 256 - Audio,TBP_256_Ultimate_Purchase_Lease_Option_Edited.mp3,Done-M,,,,,
257,The Blueprint Podcast,Know Your Number,Daniel Hill ,5-Nov-2024,Tuesday 5th November,Audio,POD 2024 - Episode 257 - Audio,TBP_257_Know_Your_Number_Edited.mp3,Done-M,,,,,
